id,url,title,subtitle,image,claps,responses,reading_time,publication,date,category
87,https://medium.com/swlh/why-you-must-use-video-for-your-business-be826cfe6c4c,Why you must use video for your business,Video sells more. So where’s your camera?,87.jpeg,44,0,4,The Startup,2019-05-30,Business & Entrepreneurship
88,https://medium.com/swlh/why-the-tech-giants-cant-save-the-news-b0f72b9fa98d,Why the Tech Giants Can’t Save the News,,88.png,26,0,11,The Startup,2019-05-30,Technology & Software Development
89,https://medium.com/swlh/online-business-owning-isnt-a-walk-in-the-park-ad41e73db125,Online Business Owning Isn’t a Walk in the Park,"Actually, it’s a whole lot of chaos. Here are some…",89.jpeg,598,6,6,The Startup,2019-05-30,Business & Entrepreneurship
91,https://medium.com/swlh/turn-your-productivity-on-autopilot-6e389e26f1bb,Turn Your Productivity on Autopilot,Forming great habits is key,91.jpeg,125,1,8,The Startup,2019-05-30,Time Management & Productivity
92,https://medium.com/swlh/3-keys-to-drive-away-daily-stress-910becf1a565,3 Keys to “Drive” Away Daily Stress,And take control of life,92.jpeg,109,0,5,The Startup,2019-05-30,Technology & Software Development
93,https://medium.com/swlh/the-call-for-a-new-device-for-data-scientists-c18cf77cf2af,The Call for a New Device for Data Scientists,,93.jpeg,28,0,10,The Startup,2019-05-30,Technology & Software Development
94,https://medium.com/swlh/an-introduction-to-python-sets-part-iii-dbb3e5df2ffc,An Introduction to Python Sets — Part III,A complete guide to standard set operations in Python,94.png,27,1,6,The Startup,2019-05-30,Art & Design
98,https://medium.com/swlh/raised-on-nintendo-64-my-story-of-bilingualism-f1a3c4c0533b,Raised on Nintendo 64: My Story on Bilingualism,,98.jpeg,37,3,6,The Startup,2019-05-30,Technology & Software Development
99,https://medium.com/swlh/i-dont-know-what-to-do-with-my-hands-3f7fab48f74c,I Don’t Know What To Do With My Hands,How to get the most out of your best visual aids,99.jpg,111,0,4,The Startup,2019-05-30,Technology & Software Development
100,https://medium.com/swlh/3-tips-for-sticking-to-new-habits-when-travelling-826d22e71b0a,3 Tips for Sticking to New Habits When Travelling,Lessons learned from my own travels,100.jpeg,64,0,7,The Startup,2019-05-30,Lifestyle & Culture
101,https://medium.com/swlh/the-law-of-reciprocity-how-giving-without-expectation-makes-sense-in-business-b0a64b1b9e68,The Law of Reciprocity — How giving without expectation makes sense in business,,101.jpeg,5,0,3,The Startup,2019-05-30,Business & Entrepreneurship
104,https://medium.com/swlh/7-concepts-from-network-science-to-make-and-strengthen-key-connections-c36dc7020bd1,"<strong class=""markup--strong markup--h3-strong"">7 Concepts From Network Science To Make and Strengthen Key Connections</strong>",,104.jpeg,39,0,6,The Startup,2019-05-30,Science & Health
106,https://medium.com/swlh/where-do-you-go-when-you-need-to-choose-a-doctor-688e159aad69,User Research At a Techstars & 500 Startups Company,"A look into our process and findings, and some…",106.jpg,125,0,6,The Startup,2019-05-30,Technology & Software Development
107,https://medium.com/swlh/are-we-losing-our-real-life-relationships-with-each-other-6aa78a68bade,"<strong class=""markup--strong markup--h3-strong"">Are We Losing Our Real-Life Relationships With Each Other?</strong>","While we’re busy building digital ones, is…",107.jpeg,539,19,6,The Startup,2019-05-30,Technology & Software Development
108,https://medium.com/swlh/https-medium-com-vonnie-york-how-to-get-the-throat-clearing-out-of-your-writing-3d4021296bbb,How to Get the Throat-Clearing Out of Your Writing,,108.png,174,0,4,The Startup,2019-05-30,Writing & Storytelling
109,https://medium.com/swlh/your-first-500-fans-lessons-learned-from-one-year-of-consistent-writing-a6cddd55c78a,Your first 500 fans: Lessons learned from one year of consistent writing,,109.jpeg,109,0,7,The Startup,2019-05-30,Writing & Storytelling
110,https://medium.com/swlh/brands-are-artifacts-of-culture-7bd101377990,Brands are Artifacts of Culture,Culture is built on shared assumptions or beliefs. Brands and…,110.png,7,0,5,The Startup,2019-05-30,Art & Design
111,https://medium.com/swlh/zero-resistance-creativity-eff98f16fa65,Zero Resistance Creativity,If you want to be more creatively productive…,111.jpeg,12,0,6,The Startup,2019-05-30,Art & Design
112,https://medium.com/swlh/how-should-the-ecb-normalize-monetary-policy-2a5f074eb53f,How should the ECB normalize monetary policy?,Synopsis: Following the 2008 financial crisis and…,112.png,1,0,5,The Startup,2019-05-30,Politics & Society
114,https://medium.com/swlh/finding-your-peak-productivity-3649ae0b0a26,Finding Your Peak Productivity,Get more done with the same hours you have now.,114.jpeg,34,0,4,The Startup,2019-05-30,Time Management & Productivity
119,https://medium.com/swlh/why-funded-startups-should-always-be-innovating-d4ed754f9018,Why Funded Startups Should Always be Innovating,,119.png,34,0,5,The Startup,2019-05-30,Business & Entrepreneurship
120,https://medium.com/swlh/why-a-style-guide-is-just-good-business-da8058235f17,Why a Style Guide Is Just Good Business,If your company hasn’t already adopted or created a style…,120.jpeg,14,0,3,The Startup,2019-05-30,Business & Entrepreneurship
121,https://medium.com/swlh/do-you-even-have-an-inner-artist-6a0db92a79bc,Do You Even Have an Inner Artist?,,121.jpeg,213,0,3,The Startup,2019-05-30,Art & Design
122,https://medium.com/swlh/building-a-business-to-run-without-you-eventually-238d5e958bbf,How To Start Going From Freelancer To Becoming An Entrepreneur,Lessons on building a business that can…,122.jpg,38,0,7,The Startup,2019-05-30,Business & Entrepreneurship
124,https://medium.com/swlh/the-power-of-unconventional-marketing-15f1bfe10242,The Power of Unconventional Marketing,,124.jpg,154,0,7,The Startup,2019-05-30,Business & Entrepreneurship
130,https://medium.com/swlh/rare-earth-exports-e939e2b60dd,Rare Earth Exports,,130.jpg,107,1,4,The Startup,2019-05-30,Art & Design
134,https://medium.com/swlh/is-facebook-listening-to-your-private-conversations-and-selling-that-data-to-advertisers-64d0ab186c74,Is Facebook Listening to Your Private Conversations and Selling That Data to Advertisers?,,134.jpeg,28,0,3,The Startup,2019-05-30,Technology & Software Development
136,https://medium.com/swlh/mistakes-i-learned-while-blogging-about-blockchain-the-past-3-years-278ae15393b0,Mistakes I Learned While Blogging About Blockchain The Past 3 Years,These are three articles I wrote…,136.jpeg,84,0,4,The Startup,2019-05-30,Technology & Software Development
137,https://medium.com/swlh/should-the-digital-natives-grow-up-digitally-7643e76e1962,Should the ‘digital natives’ grow up digitally?,,137.jpeg,101,0,7,The Startup,2019-05-30,Technology & Software Development
141,https://medium.com/swlh/smashing-through-creative-blocks-a7af56fdfa35,Smashing Through Creative Blocks,Whether you’re stuck on a current project or you’ve been away from…,141.jpeg,75,0,3,The Startup,2019-05-30,Art & Design
144,https://medium.com/swlh/how-the-law-of-attraction-works-97ed1a491347,How the Law of Attraction Works,The Law of Attraction conjures up different ideas for different…,144.jpeg,1,0,7,The Startup,2019-05-30,Politics & Society
146,https://medium.com/swlh/how-to-beat-the-big-guys-877980866deb,How to Beat the Big Guys,The secret ingredient small businesses can use to win over the hearts (&…,146.png,37,0,3,The Startup,2019-05-30,Business & Entrepreneurship
148,https://medium.com/swlh/not-another-meeting-5-ways-to-reduce-meeting-agony-422736ff089f,Not Another Meeting! — 5 Ways to Reduce Meeting Agony,How to increase the value of your meetings,148.jpeg,48,0,5,The Startup,2019-05-30,Business Management & Leadership
151,https://writingcooperative.com/publish-all-your-writing-good-or-bad-65a92750dcfc,Publish All Your Writing — Good or Bad,"The importance of getting your work out there, even if nobody…",151.jpg,1500,8,3,The Writing Cooperative,2019-05-30,Writing & Storytelling
154,https://writingcooperative.com/use-the-three-cs-of-good-writing-to-avoid-writing-pitfalls-81f2dfe41b8d,Use the Three C’s of Good Writing to Avoid Writing Pitfalls,"You’re reading something, get part way…",154.jpg,183,1,6,The Writing Cooperative,2019-05-30,Art & Design
155,https://writingcooperative.com/the-clarifying-power-of-writing-and-storytelling-48efef2c6256,The clarifying power of writing and storytelling,Reflections on why we write — and why we share our…,155.jpeg,47,2,11,The Writing Cooperative,2019-05-30,Writing & Storytelling
156,https://writingcooperative.com/there-is-no-such-thing-as-a-bad-book-18ba745c9ba5,There Is No Such Thing As A Bad Book,The act of banning books is a practice that can ruin any child’s…,156.jpeg,148,4,5,The Writing Cooperative,2019-05-30,Education & Academia
159,https://writingcooperative.com/what-to-write-when-you-dont-feel-like-writing-7471038e8e90,What To Write When You Don’t Feel Like Writing,Sometimes I need a good kick in the pants to get…,159.jpg,140,0,6,The Writing Cooperative,2019-05-30,Writing & Storytelling
160,https://writingcooperative.com/what-writers-block-is-trying-to-tell-you-392559b21239,What Writer’s Block is Trying to Tell You,Plus a fun exercise to help you side step creative…,160.jpeg,42,2,4,The Writing Cooperative,2019-05-30,Art & Design
161,https://writingcooperative.com/how-changing-from-a-to-do-list-to-a-schedule-transformed-my-writing-6fd5ad31310,How Changing from a To-do List to a Schedule Transformed my Writing,I now have a sustainable process,161.jpeg,257,3,5,The Writing Cooperative,2019-05-30,Technology & Software Development
163,https://writingcooperative.com/i-learned-the-key-to-successful-writing-on-a-tour-of-mark-twains-house-15faee80d1a0,I Learned The Key To Successful Writing On A Tour Of Mark Twain’s House,I also learned that I don’t…,163.jpg,64,2,4,The Writing Cooperative,2019-05-30,Technology & Software Development
166,https://medium.com/datadriveninvestor/collect-the-data-for-data-analysis-using-web-scraping-in-python-97c153f1b20,Collect the Data For Data Analysis Using Web Scraping in Python,,166.jpeg,150,0,4,Data Driven Investor,2019-05-30,Technology & Software Development
167,https://medium.com/datadriveninvestor/digital-identity-in-fintech-fdf9f9ffecc6,Digital identity in #Fintech,Digital and Open banking in the Canadian ecosystem,167.jpeg,31,0,7,Data Driven Investor,2019-05-30,Technology & Software Development
168,https://medium.com/datadriveninvestor/shells-industry-transformation-and-innovation-through-ai-b74fbfce867c,Shell’s Industry Transformation and Innovation through AI,,168.jpeg,70,0,3,Data Driven Investor,2019-05-30,Technology & Software Development
169,https://medium.com/datadriveninvestor/playing-with-instagram-data-53ede72cb756,Playing with Instagram Data,Downloading and visualizing Instagram direct conversations,169.jpg,82,0,4,Data Driven Investor,2019-05-30,Technology & Software Development
174,https://medium.com/datadriveninvestor/increasing-demand-in-an-emerging-economy-7bfc89c62606,Increasing Demand in an Emerging Economy,,174.jpeg,31,0,5,Data Driven Investor,2019-05-30,Business & Entrepreneurship
175,https://medium.com/datadriveninvestor/rain-trading-idea-of-the-week-buying-the-usd-cnh-at-7-00-9bd6196f54c,RAIN Trading Idea of the Week: Buying the USD/CNH at 7.00,,175.jpg,58,0,4,Data Driven Investor,2019-05-30,Technology & Software Development
176,https://medium.com/datadriveninvestor/a-roadmap-for-digital-transformation-5e3c535b6c34,A Roadmap for Digital Transformation,,176.jpeg,56,0,3,Data Driven Investor,2019-05-30,Technology & Software Development
177,https://medium.com/datadriveninvestor/an-alternative-to-fang-stocks-the-nampof-data-driven-investor-237f91477cb9,"An Alternative to FANG stocks, the NAMPOF — Data Driven Investor",,177.jpg,81,0,8,Data Driven Investor,2019-05-30,Technology & Software Development
178,https://medium.com/datadriveninvestor/top-5-digital-marketing-trends-you-should-be-following-in-2019-6e57374fd81d,Top 5 Digital Marketing Trends You Should Be Following in 2019,,178.png,62,0,5,Data Driven Investor,2019-05-30,Technology & Software Development
180,https://medium.com/datadriveninvestor/software-is-a-value-investment-because-oracle-makes-lots-of-money-market-mad-house-1cb66e68ddf6,Software is a value investment because Oracle makes lots of money — Market Mad House,,180.jpg,62,0,5,Data Driven Investor,2019-05-30,Technology & Software Development
181,https://medium.com/datadriveninvestor/2-1-dimension-2-disruption-market-spaces-edd6cc85bb5e,2.1 Dimension 2 — Disruption market spaces,,181.jpeg,33,0,3,Data Driven Investor,2019-05-30,Business & Entrepreneurship
186,https://medium.com/better-marketing/6-free-marketing-certificates-that-will-boost-your-resume-a2d0009cc599,6 Free Marketing Certifications That Will Boost Your Credibility,"Ads, Analytics, Twitter — free…",186.jpg,327,2,4,Better Marketing,2019-05-30,Business & Entrepreneurship
187,https://medium.com/better-marketing/the-virtue-of-a-blisteringly-bad-glassdoor-review-781240552a00,How We Used a Bad Glassdoor Review to Improve Our Company Culture,"Instead of defending ourselves, we…",187.jpg,172,2,5,Better Marketing,2019-05-30,Business & Entrepreneurship
190,https://medium.com/better-marketing/marketing-for-honest-people-b2044a51bd26,Pinocchio The Marketing Expert,“I’m trying to build a narrative here.”,190.png,160,1,5,Better Marketing,2019-05-30,Business & Entrepreneurship
191,https://medium.com/better-marketing/a-butchers-lessons-on-leadership-a9a8b50f0167,Leadership Principles Learned From a Master Butcher,"Use your assets, know your tools, and turn…",191.jpg,147,1,6,Better Marketing,2019-05-30,Business & Entrepreneurship
193,https://medium.com/better-marketing/a-medieval-idea-that-can-surprisingly-transform-your-brand-9427457bfed5,How a Medieval Tradition Can Transform Your Brand,The coat of arms branding exercise,193.jpg,75,1,3,Better Marketing,2019-05-30,Marketing & Social Media
195,https://towardsdatascience.com/learning-sql-201-optimizing-queries-regardless-of-platform-918a3af9c8b1,"Learning SQL 201: Optimizing Queries, Regardless of Platform",TL;DR: Disk is Frickin’ Slow. Network is…,195.jpeg,825,3,22,Towards Data Science,2019-07-25,Education & Academia
196,https://towardsdatascience.com/predicting-vs-explaining-69b516f90796,Predicting vs. Explaining,And Why Data Science Needs More “Half-Bayesians”,196.png,1300,9,13,Towards Data Science,2019-07-25,Technology & Software Development
197,https://towardsdatascience.com/why-machine-learning-models-degrade-in-production-d0f2108e9214,Why Machine Learning Models Degrade In Production,,197.jpg,795,2,7,Towards Data Science,2019-07-25,Technology & Software Development
200,https://towardsdatascience.com/an-introduction-to-recurrent-neural-networks-for-beginners-664d717adbd,An Introduction to Recurrent Neural Networks for Beginners,"A simple walkthrough of what RNNs are, how…",200.jpg,105,2,10,Towards Data Science,2019-07-25,Technology & Software Development
201,https://towardsdatascience.com/a-convnet-that-works-on-like-20-samples-scatter-wavelets-b2e858f8a385,"A ConvNet that works on like, 20 samples: Scatter Wavelets","The lesser known, non-neural, convolution…",201.png,167,0,10,Towards Data Science,2019-07-25,Technology & Software Development
202,https://towardsdatascience.com/time-series-clustering-and-dimensionality-reduction-5b3b4e84f6a3,Time Series Clustering and Dimensionality Reduction,Cluster sensor data with Kolmogorov Smirnov…,202.jpg,130,1,6,Towards Data Science,2019-07-25,Technology & Software Development
204,https://towardsdatascience.com/introduction-to-dtplyr-783d89e9ae56,Introduction to dtplyr,Learn how to easily combine dplyr’s readability with data.table’s performance!,204.png,256,1,4,Towards Data Science,2019-07-25,Technology & Software Development
208,https://towardsdatascience.com/sentiment-analysis-a-benchmark-903279cab44a,Sentiment Analysis: a benchmark,Recurrent neural networks explained. Classifying Customer Reviews…,208.png,85,0,5,Towards Data Science,2019-07-25,Technology & Software Development
210,https://towardsdatascience.com/visualizing-keras-models-49d591931209,Visualizing Keras Models,I love how simple and clear Keras makes it to build neural networks. With…,210.png,74,1,3,Towards Data Science,2019-07-25,Technology & Software Development
212,https://towardsdatascience.com/street-lanes-finder-detecting-street-lanes-for-self-driving-cars-fe069ec5a22d,Street Lanes Finder - Detecting Street Lanes for Self-Driving Cars 🚗,Lanes Detection with Computer Vision,212.png,142,1,5,Towards Data Science,2019-07-25,Technology & Software Development
213,https://towardsdatascience.com/relative-vs-absolute-how-to-do-compositional-data-analyses-part-2-f554eb9b26e,Relative vs Absolute: How to Do Compositional Data Analyses. Part — 2,,213.png,19,0,14,Towards Data Science,2019-07-25,Technology & Software Development
214,https://towardsdatascience.com/linear-regression-on-housing-dataset-a57ef8bf2e60,Linear Regression on Housing Dataset,,214.png,8,0,5,Towards Data Science,2019-07-25,Technology & Software Development
215,https://towardsdatascience.com/predicting-lyme-disease-the-fastest-growing-infectious-disease-in-the-u-s-4874ee1f5738,"Predicting Lyme Disease, the Fastest Growing Infectious Disease in the U.S.",A Climate-Based…,215.jpeg,490,1,15,Towards Data Science,2019-07-25,Science & Health
217,https://towardsdatascience.com/artificial-intelligence-and-terrorism-in-social-media-cf166adaf78e,How does Facebook define Terrorism in Relation to Artificial Intelligence?,AI and Definitions of…,217.jpeg,50,0,16,Towards Data Science,2019-07-25,Technology & Software Development
219,https://towardsdatascience.com/predict-employee-retention-901bfb2c8db5,Predict Employee Retention,Predict whether an employee will stay or leave the company. It consist of…,219.jpg,102,0,4,Towards Data Science,2019-07-25,Business & Entrepreneurship
220,https://towardsdatascience.com/regularization-for-machine-learning-models-9173c2e90449,Regularization for Machine Learning Models,"L1 Lasso, L2 Ridge and L1+L2 Elastic Net regularization…",220.png,26,0,3,Towards Data Science,2019-07-25,Technology & Software Development
222,https://towardsdatascience.com/trees-in-data-science-dcd9830cbfcf,Trees in data science,"Navigating through simple decision trees, bootstrapping/bagging and finally…",222.png,17,0,4,Towards Data Science,2019-07-25,Technology & Software Development
225,https://towardsdatascience.com/reinforcement-learning-introduction-609040c8be36,Reinforcement Learning Introduction,The Problem Description,225.png,23,0,4,Towards Data Science,2019-07-25,Education & Academia
226,https://towardsdatascience.com/what-if-your-colleague-is-a-robot-e1256b3e2c94,What if Your Colleague is a Robot,"Artificial Intelligence, Robotics and the Bizzare Future of…",226.jpeg,141,0,7,Towards Data Science,2019-07-25,Technology & Software Development
227,https://towardsdatascience.com/machine-learning-for-content-moderation-challenges-ce9c227c8b30,Machine Learning for Content Moderation — Challenges,Challenges of using machine learning systems for…,227.jpg,120,0,5,Towards Data Science,2019-07-25,Technology & Software Development
230,https://towardsdatascience.com/in-the-new-era-of-knowledge-connection-beats-collection-every-time-6f77fb6b77df,"In the New Era of Knowledge, Connection Beats Collection Every Time",,230.jpeg,28,3,4,Towards Data Science,2019-07-25,Education & Academia
232,https://towardsdatascience.com/domo-arigato-misses-roboto-661d262a2556,"Domo Arigato, Misses Roboto",The Story of My Super Confusing Existential Relationship with Amazon Echo,232.png,12,0,6,Towards Data Science,2019-07-25,Lifestyle & Culture
233,https://uxdesign.cc/crafting-a-compelling-story-for-your-on-site-design-portfolio-presentation-2c1eaea5fbd8,Crafting a compelling story for your on-site design portfolio presentation,Create a gripping narrative…,233.png,488,0,8,UX Collective,2019-07-25,Art & Design
